allegation,allegation_classification,allegation_categories,allegation_categories_description
Excessive cell phone use - warning,Improper Use or Destruction of Equipment,,
Group 1 DR.03:09.915.01 (b) - Failure to work,Neglect of Duty and Professionalism,,
"DR.03:09.500.01 - disruptive or abusive behavior, insubordination, violation of safety rules; any act impairing the efficiency or reputation of the agency, its members or deputies - Grp 1, DR.03:09.915.01 a- Interfering with the work of others, DR.03:09.920.01 - Failure to follow safety rules and procedures - Grp 2 - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comple with policy and procedures - suspension 24 hours",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 c. Unsatisfactory workor failure to maintain required standard of performance - written warning,Neglect of Duty and Professionalism,,
Minor single car accident - while getting his unit washed - while backing into a parking spot near the vacuum pumps - stuck a metal post with passenger reaor hos isnit damaged tail light and cause a dent job avobe the tail light - Group 2 DR.03.09.925.02 - written warning,Improper Use or Destruction of Equipment,,
DR.03:09.916.01 - Unsatisfactory work or failure to maintain require standard of performance - warning,Neglect of Duty and Professionalism,,
Group 2 - DR.03:09.935.01 c. Unaurthorized use or misue of the Agency property or equipment - warning,Improper Use or Destruction of Equipment,,
"SOP.0500:01.270.01 #12 - Cursing, foul, slang, or abusive language - warning",Neglect of Duty and Professionalism,,
DR.03:08.200 - Employees are expected to be in their assigned work area and ready to begin work at their scheduled start time. DR.03:08.300 - Tardiness - warning,Neglect of Duty and Professionalism,,
"DR.03:09.955.01 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees.",Neglect of Duty and Professionalism,,
"DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - 8 hour suspension",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - insubordination - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - DR.03:09.919 - failing to make a written report - reassigned to from bond to booking",Neglect of Duty and Professionalism,,
DR.03:09.915.01 - Employee Relations -Group 2 - DR.03:09.932.01 - Insubordination - DR.03:09.933.01 - Group 2 - Language/Conduct - suspended 24 hours,Neglect of Duty and Professionalism,,
"PREA - Group 2 - Insubordination - DR.03:09.932.01 - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - suspension 24 hours",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 B- inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
DR>03:09.925.02 - Policy and Procedures - 24 hours suspension,Neglect of Duty and Professionalism,,
DR.03:08.230 - Reporting Absences - Unscheduled absences must be reported to the immediate supervisor - warning,Neglect of Duty and Professionalism,,
SOP.1950:01.040 - Positioning of prisoners in the the transport vehicle; SOP. 1950:01.050 - control of prisoners while transporting & SOP.1950.100.060 - Observation of prisoners while transporting - warning,Improper Use or Destruction of Equipment,,
"Group 3 - Employee Conduct, DR.03:08.000 - a. members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredi upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. D. Each employee has an obliation ot ovserve and follow the STPSO policies and to maintain proper standards of condut at all times as described herein. If an individual's behavior interes with orderly and efficient operation tof the Agency, corrective disciplinary measure may be taken. DR.03:09.955.01 f. taking any acition which will impair the efficieency or repuation of the Agency, its members, or employees - DR.03:09.957.01 - Failure to observe policy - Willful disregard of Agency rules, regulations,, policies or procedures - terminated",Neglect of Duty and Professionalism,,
"DR.03:09.933.01 Language/Conduct - Group 2 - by using rude, discourteous, racial related, insulting language or conduct offensive to the public, supervisors, or other STPSO employees - warning",Neglect of Duty and Professionalism,,
"Group 1 - DR.03:09.916.01 - (a) neglect of work, (b) inadequate or unsatisfactory job performance © unsatisfactory work or failure to maintain required standard of performance (d) performing private work on STPSO time - warning",Neglect of Duty and Professionalism,,
"Grp 1 - DR.03:09.915.01 - Failure to work cooperatively with other employees or supervisor - Group 2 - DR.03:09.932.01 - Failure to follow supervisors instructions, perform assigned work or otherwise comply with policy and procedures - Group 2 - DR.03:09.933.01 - Using rude, discourteous, and insulting language or conduct offensive to the public, supervisors or other employees - suspension 16 hours",Neglect of Duty and Professionalism,,
Group 1 - Reports DR.03:09.919 b - willful failure to make require reports - warning,Neglect of Duty and Professionalism,,
DR.03:09.919 - Failure to submit properly written reports within a reasonable time as per regulation - warning,Neglect of Duty and Professionalism,,
"Code of Ethics - DR.03:08.105 A - An employee must always conscientiously perform all assigned job duties - Criminal/immoral conduct - Group 3 DR.03:09.955.01 - e. engagin in dishonest conduct undermines the effectiveness of the agency's activities or employee's performance, whether on or off the job (f.) taking any action which will impair the efficiency or reputation of the Agency, its member or employees - Failure to observe policy - Group 3 - DR.03:09.957.01 - b. willful disregard of agency rules regulations, policies or procedures - Falsifying records - Group 3 - DR.03:09.960.01 b. falsifying STPSO records - Job Performance - Group 3 DR.03:09.970.01 a. Wanton or willful neglect of duties - 40 hours of suspension (due to IA investigation failing to complete numerous reports assigned to her.",Engaging in Criminal Activity,,
"Group 2 - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - suspension 8 hours",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.911.01 1 c. Chronic unexcused tardiness or absences - 8 hour suspension,Neglect of Duty and Professionalism,,
STPSO computers - warning,Improper Use or Destruction of Equipment,,
"DR.03:09.916.01 Inadequate Job Performance, DR.03:09.919 Willful failure to make required report",Neglect of Duty and Professionalism,,
"DR.04:02.040 remedial assessment protocols- DR.03:09.932 (a) - Insubordination: Failure to follow supervisor instructions, perform assisgned work, or otherwise comply with policy and procedure - 16 hours suspension",Neglect of Duty and Professionalism,,
"Group 3 - Employee Conduct, DR.03:08.000 -b. members of the STPSO shall be courteous to the public. D. Each employee has an obliation ot ovserve and follow the STPSO policies and to maintain proper standards of condut at all times as described herein. If an individual's behavior interes with orderly and efficient operation tof the Agency, corrective disciplinary measure may be taken. DR.03:09.957.01 - Failure to observe policy - Willful disregard of Agency rules, regulations,, policies or procedures. Language/Conduct - Group 2 DR.03:09.933.01 - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors, or other STPSO employees- terminated",Neglect of Duty and Professionalism,,
"DR.03:09.914.01 B, C, D - Duty Time - Leaving assigned work area without authorization, excess taking breaks or overstaying breaks & abus of duty time (too much time away from established duties; too much time for personal business) - suspension 16 hours",Neglect of Duty and Professionalism,,
"Group 3 - DR.03:09.957.01 - Failure to observe policy - willful disregard of Agency rules, regulations, policies or procedures - DR.03.09.970.01 - Job Performance - Wanton or willful neglect of duties - DR.03:09.932.01 - Insubordination - Failure to follow supervisor's instructions, perform assigned work, or otherwise comply with policy and procedures. - termination",Neglect of Duty and Professionalism,,
"DR.07:100.120 Excessive speed, reckless driving.",Engaging in Criminal Activity,,
"Group 1 - Absences/Tardiness - DR.03:09.11.01 - absent without leave, failure to report to work without proper notice to a supervisor (b) unexcused absence - Group 2 (DR.03:09.932.01) Failure to follow supervisor instructions, perform assigned work or otherwise comply with policy and procedure. DR.03:09.933.01 - Using rude, discourteous, racial related, or insulting language, or conduct offensive to the public, supervisors or other STPSO employees. Group 3 - DR.03.09.970.1 (a) wanton or willful neglecct of duties - demoted from Sgt to Dy",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.911.01 Excessive absences - Dy. Sparrow has been advised the importance of making proper notifications to supervisors in any event that she may be running late to work or possibly absent from work for any reason that may make her late or absent. Any further instances of her being late to training or her duty assignment and or fialing to make proper notification would result in her removal from POST II - written warning,Neglect of Duty and Professionalism,,
DR.03:09.916.01 B - Inadequate or unsatifactory job performance. C unsatisfactory work or faiure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
"relative to insubordination, by failing to submit the weapon after being advised - suspension (8 hours)",Mishandling Evidence,,
DR.03:09.973 B - payroll fraud - demoted,Engaging in Criminal Activity,,
"Failure to follow supervisor instructions, perform assigned work - Taking any action which impair the efficency or reputation of the Agency - suspension",Neglect of Duty and Professionalism,,
Group 3 - DR.03:09.970.01 - Wanton or will neglect of duties - discharged,Neglect of Duty and Professionalism,,
DR.03:09.916.01 - Unsatisfactory Job Performance Group 1 - c. Unsatisfactory work or failure to maintain required standard of performance. DR.03:09.932.01 - Insubordination - suspension - 8 hours,Neglect of Duty and Professionalism,,
Group 1 - DR.03.09.919.(c) - failure to submit properly written reports within a reasonable time as per regulation - Group 3 - DR.03:09..970.01 (a) Wanton or willful neglect of duties - demoted to DFC,Neglect of Duty and Professionalism,,
"DR.03:09.957.01 Violating saftey rules where there is a threat of life. DR.03:09.931.02d, Failure to properly supervise subordinates. DR.03:09.957.01 Willful disregard of agency rules, regulations, policy and procedures. DR.03:09.935.01c unauthorized use or misue of the Agency's proerty or equipment. DR.03.:09.914b, leaving assigned work area without permission.",Improper Use or Destruction of Equipment,,
Failure to follow safety rules and procedures - warning,Neglect of Duty and Professionalism,,
"Group 1 - DR.08:09.916.1 (b) - inadequate or unsatisfactory job performance © unsatisfactory work or failure to maintain required standard. DR.03""09.919 © - failure to submit (properly) written reports within a reasonable time per regulation - warning",Neglect of Duty and Professionalism,,
Creating a hostile work environment - suspension,General Harassment,,
"DR.03:09.995.01 a - Conduct violating morality or common decency, including sexual, age, race , religious discrimination, or other conduct which violates federal and state discrimination or civil rights laws. DR.03.10.201 - a newly appointed employee bay be removed or reduced in job grade or description by the Sheriff, or his designee, at any time during the Introductory Period. - terminated",Neglect of Duty and Professionalism,,
DR.03:09.916.01 © - unsatisfactory work or faiure to maintain required standard of work - warning,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.919 c. failure to submit properly written reports within a reasonable time as per regulation - due to being second write up - 8 hours suspension,Neglect of Duty and Professionalism,,
DR.03:09.975.01 Violating saftey where there is a threat to life,Neglect of Duty and Professionalism,,
individual deputy to whom the weapon is assigned shall secure all weapons at all times; Safety failure to follow safety rules and procedures and contributing to our creating unsafe or unsanitary conditions - warning,Improper Use or Destruction of Equipment,,
"Group 2 - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - warning",Neglect of Duty and Professionalism,,
Dr.03:09.952.01 F (reporting to work when ability is impaired).,Neglect of Duty and Professionalism,,
DR:03:09.915.01 B - Failure to work cooperatively with other employees - warning,Neglect of Duty and Professionalism,,
DR.03:09.300 - Tardiness - General DR.03.300 - warning,Neglect of Duty and Professionalism,,
DR.03:09.977.01 - Sleeping on duty -40 hour suspension,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.914.01 - B - Leaving the assigned work area with authorization and (D) - abuse of duty time (too much time away from established duties; too much time for personal business - warning,Neglect of Duty and Professionalism,,
"Group 1 - DR.03:09.920.07 - Safety - Failure to follow safety rules and procedures - Group 2 - DR.03:09.932.01 - Failure to supervisor instruction, perform assigned work, or otherwise comply with policy and procedure (Group 2) - 16 hours suspension",Neglect of Duty and Professionalism,,
DR.03:09.914.01 - Duty Time; DR.03:09.916.01 - Job Performance - Unsatisfactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 - a. neglect of work b. inadequate or unsatisfactory job performance. C. unsatisfactory work or failure to maintain required standard of performance - Insubordination - DR.03:09.932.01 - Group 2 - written warning,Neglect of Duty and Professionalism,,
"Group 3 - DR.03:09.957.01 - Failure to observe policy - willful disregard of Agency rules, regulations, policies or procedures - DR.03.09.970.01 - Job Performance - Wanton or willful neglect of duties - DR.03:09.932.01 - Insubordination - Failure to follow supervisor's instructions, perform assigned work, or otherwise comply with policy and procedures.",Neglect of Duty and Professionalism,,
Group 1 - DR. 03:09.919 (b) - willful failure to make required reports - written warning,Neglect of Duty and Professionalism,,
Physical Fitness Program - DR.04:02.040 - 16 hours suspension,Neglect of Duty and Professionalism,,
"Inadequate or unsatisfactory work performance, Failure to properly supervise subordinates, or to follow through with appropriate disciplinary action when knowledge or a violation is observed and/or reported/discovered, Using rude, discourteous, racial related or insulting language, or conduct offensive to the public, supervisors or other STSPO employees; discourteous treatment of the public - demoted",Neglect of Duty and Professionalism,,
Job Performance: Neglect of work: Dr.03:09.916.01,Neglect of Duty and Professionalism,,
DR. 03:09.916.01 - Inadequate or unsatisfactory job performance - other - per Dy request trf to court security,Neglect of Duty and Professionalism,,
DR.03:09.916.01 © -Unsatisfactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.915.01 b - Failure to work cooperatively with other employees or supervisors - warning,Neglect of Duty and Professionalism,,
DR.03:09.911.01c - Tradiness - DR.03:09.914.01 a/b - Employee Relations DR.03:09.916.01 - Job Performance- Written warning,Neglect of Duty and Professionalism,,
Group 1- DR.03:09.916.01 - Inadequate or unsatisfactory job performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.916.01 - Job Performance Group 1 - Inadequate or unsatisfactory job performance,Neglect of Duty and Professionalism,,
Excessive absences - warning,Neglect of Duty and Professionalism,,
"Group 2 Language/Conduct - DR.03:09.933.01 - Using rude, discourteous, racial related or insulting language, or conduct offensvie to the public, supervisors, or others STPSO employees - Insubordination - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. Group 3 - Criminal/Immoral Conduct - DR.03:09.955.01 - Taking any action which will impair the efficie3ncy or reputation of the Agency, its members, or employees.a Introductory Period Removal - DR.03:10.201 - A newly appointed employee may be rem,oved or reduced in job grade or description by the Sheriff, or his designee, at any time during the Introductory Period - terminated",Engaging in Criminal Activity,,
"SOP.2050:01.010 - Falsifaction/Destruction of Records- No deputy will falisfy, destory, alter or remove any report or record of this department. Anyone having such behavior shall immediately report it to his immediates supervisor - Group 3 DR.03:09.955.01 - e. Engaging in dishonest conduct that undermines the effectiveness of the agency's activities or employee performance, whether on or off the job f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees - Group 3 - Falsifying Records - DR.03:09.960.01 a. Knowing or willfully make a false entry in any report or record - termination",Falsifying Statements and Reports,,
"Group 2- DR.03:09.931.02 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - suspension 8 hours",Neglect of Duty and Professionalism,,
"Failure to follow supervisor instructions, peform assigend work or otherwise comply with policy and procedure Wanton or willful neglect of duties, knowingly or willfully making a false entry in any report or record - 40 hours suspension",Falsifying Statements and Reports,,
"DR.03:09.932.01 - Insubordination Group 2 - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure. Suspension 24 hours",Neglect of Duty and Professionalism,,
Failure to maintain standard level of performane - warning,Neglect of Duty and Professionalism,,
"Unauthorized release of confidential information, Misuse or removing records or information with authorization, using public office for private gain, engaging in any criminal conduct either on or off the job",Engaging in Criminal Activity,,
DR.03:09.911 - Item C: Chronic Unexcused Tardiness - warning,Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 b - Inadequate or unsatisfactory job performance following the verbal instruction from her supervisor to keep her sensitive employee matters limited to her colleague in the persons section and or her chain of command. - warning,Neglect of Duty and Professionalism,,
"Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
DR.03:09.916.01(b) Inadequate or unsatisfactory work performance - 8 hour suspension,Neglect of Duty and Professionalism,,
Due to background - discharged,Other Allegation,,
Dy. Levee given written warning and not to contact she disobeyed - 8 hours suspension,Neglect of Duty and Professionalism,,
DR.03:09.931.02 c - Failure to act when necessary - suspension for 8 hours,Neglect of Duty and Professionalism,,
"DR.03:09.931.02 d - Failure to properly supervise subordinates, or to follow through with appropraite disciplinary action when knowledge of a violation is observed and/or reported/discovered - in reference to Lt. Rachel Smith - 8 hours suspension",Neglect of Duty and Professionalism,,
Job performance - DR:03:09.91601 - 8 hours of suspension,Neglect of Duty and Professionalism,,
DR.03:09.931.01 Group 2 Fialure to Act © Failure to Properly supervise subordinates- 8hrs...,Neglect of Duty and Professionalism,,
"Employee Conduct DR.03:08.000 - A. Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. Group 3 Failutre to Observe Policy - f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees - DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - terminated",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 - Job Performance - c. Unsatisfactory work or failure to maintain required standard of performance. DR.03:09.920.01 - Safety A. Failure to follow safety rules and procedures - suspension 24 hours,Neglect of Duty and Professionalism,,
"Group 3 DR.03:09.960.01 - falsifying Records -a, b & c - Group 2 - Dr.03:09.931.02 - failure to act d. failure to supervise subornates & Group 3 DR.03:09.970.01 - wanton or willful neglect of duties - demoted to corporal and trf to sex offender registry",Falsifying Statements and Reports,,
"Employee Conduct - DR.03:08.000 A, B & C., Group 3 - DR.03:09.955.01 D. Engaging in any criminal conduct either on the or off the job. F. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - termination",Engaging in Criminal Activity,,
"Employee Conduct - DR.03:08.000 A, B & D., Group 2 - DR.03:09.931.02 D. Failure to properly supervise subordinates, or to follow through with appropriate disciplinary action when knowledge of a violation is observed and/or reported or discovered. Group 3 - DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures - 40 hours suspension and transfer to criminal patrol",Engaging in Criminal Activity,,
"DR.03:08.230 - Reporting Absences - If you are absent for three days without notifying the STPSO, it isaasummed that you have voluntarily abandoned your position with the STPSO, and you will be terminated and removed from the payroll - termination",Neglect of Duty and Professionalism,,
"Group 3 - Employee Conduct, DR.03:08.000 A. Members of the STPSO shall conduct themselves at all times, both on and off duty, in such a manner as to reflect most favorably on the Agency. Unbecoming conduct shall include that which brings the Agency into disrepute or reflects discredit upon the individual as a member of the STPSO, or that which impairs the operation or efficiency of the STPSO or the individual. DR.03:09.957.01 - Willful disregard of Agency rules, regulations, policies or procedures. DR. 03:09.955 f. Taking any action which will impair the efficiency or reputation of the Agency, it's members, or employees.",Neglect of Duty and Professionalism,,
"Criminal/Immoral Conduct - DR.03:09.955.01 - f. taking any action which impair the efficiency or reputation of the Agency, its members, or employees - Failure to observe policy - DR.03:09.957.01 - willful disregard of Agency rules, regulations, policies or procedures - terminated",Other Allegation,,
"Group 1 - DR.03:09.915.01 - Employee Relations - a. interfering with the work of others and b. failure to work cooperatively with other employees or supervisors. Group 2 DR.03:09.02 - Failure to Act d. Failure to properly supervise subordinates. Group 2 DR.03""09.933.01 - Language/conduct - using rude, discourteous, racial related, or insulting language, or conduct to the public, supervisors, or other STPSO employees. Group 2 - DR.03:09.932.01 - Insubordination - failure to follow supervisor instructions, perform assigned work, or, otherwise comply with policy and procedure - supension -",Neglect of Duty and Professionalism,,
"DR.03:10.201 - A newly apponted employee may be removed or reduced in job grade or description by the Sheriff, or his designee - Terminated",Other Allegation,,
"Group 2- DR.03:09.032 a. - Insubordination - failure to follow supervisor instructions, perform assigned work or otherwise comply with policy and procedure - suspension 24 hours",Neglect of Duty and Professionalism,,
DR.03:09.934.01 - Failure to report - refusal to work overtime upon request - suspension - 8 hours,Neglect of Duty and Professionalism,,
"DR.03:08.775 - Social Networking: Use and content; DR.03.08.000 - Employee conduct; DR.03.09.957.01 - Willful disregard of Agency rules; regulations, policies or procedures(regarding social networking policy) - DR>03:09.955.01 - f - Criminal/Immoral conduct - demoted to Sgt",Engaging in Criminal Activity,,
DR.03:09.916.01 - Unsatisfactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.970.01 (a) - Job Performance - wanton or willful neglect of duties - transfer from patrol to court security,Neglect of Duty and Professionalism,,
"DR.03:10.201 - A newly appointed employee may be removed or reduced in job grade or description by the Sheriff, or his designee, at any time during the Introductory Period Recurit Jones missed 142.5 hours since August 7, 2018 - termination",Other Allegation,,
"SOP.1200:01.100.02 - 4 - Deputies shall not carry weapons when socially inappropriate, nor when consuming alcoholic beverages, unless on undercover duty, with specific command approval for each individual occurrence, and in amounts not to impair judgement or faculty. DR.03:08.000 A- Members of the conduct themselves - see policy & SOP.2050.02.070 (1,2& 3) - SEE POLICY - Discharged",Improper Use or Destruction of Equipment,,
DR.03:09.916.01 - Job performance - neglect of work. warning - 16 hour suspension,Neglect of Duty and Professionalism,,
"DR:03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - suspension 16 hours",Neglect of Duty and Professionalism,,
"DR.03:09.955.01 - Engaging in any criminal conduct either on or off the job, in addition the employee is in her introductory period.",Engaging in Criminal Activity,,
"Group 2 - DR.03:09.932.01 - Insubordination - Failure to follow supervisor's instructions, perform assigned work, or otherwise comply with policy.",Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - Group 2 - Insubordination: Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - DR.03.09.935.01 - Proper Use of Equipment - suspension 24 hours",Improper Use or Destruction of Equipment,,
Grp 2 - DR.03:09.932.01 - Failure to follow supervisor instructions - SOP.1700:03.100.01 - Daily Observation Report - suspension 8 hours,Neglect of Duty and Professionalism,,
DR.03:09.932.01 - Failure to follow supervisor instructions and for failing to comply with policy procedures - warning,Neglect of Duty and Professionalism,,
"Group 3 - DR.03.99.955.01 d. engaging in any criminal conduct either on or off the job f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees - terminated",Engaging in Criminal Activity,,
,,,
"Group 2- DR.03:09.931.02 - Insubordination - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - suspension 16 hours",Neglect of Duty and Professionalism,,
Group 1 Employee Relations - DR.03:09.915.01 - (a) Interfering with the work of others (b) failure to work cooperatively with other employees or supervisors - warning,Neglect of Duty and Professionalism,,
DR.03:09.911.01 - Absensces/Tardiness - Group 1 - Chronic unexcused tardiness or absences - DR.03:09.914.01 - Excessive taking of breaks or overstaying breaks - DR.03:09.916.01 - Unsatisfactory work or failue to maintain required standard of performance - 24 hours of suspension,Neglect of Duty and Professionalism,,
Minor Car Accident - while bakcing his unit up to complete yard work and struck small tree Group 2 DR.0309.925.02 - written warning,Improper Use or Destruction of Equipment,,
Group 2- DR.03:09.931.02 C. - Failure to act when necessary - 24 hour suspension,Neglect of Duty and Professionalism,,
DR.03:09.916 (b) - Inadequate or unsatisfactory job performance & DR.03:09:916 C - Unsatifactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure",Neglect of Duty and Professionalism,,
DR:03:09.916 - b - Inadequate or unsatisfactory work performance - DR.03:09.916 - c - Unsatifactory work performance - 24 hours,Neglect of Duty and Professionalism,,
"DR. 03:09.954.01aCommunicating or imparting confidential informtaion, including but not limited to photographs ALPR, or reports, el;ectronically, by voice, or by text to any unauthorized person or entity.DR.03:09.955.01f Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees",Other Allegation,,
Group 1 - Unsatisfactory work or failure to maintain required standard of performance - warning,Neglect of Duty and Professionalism,,
DR.03:09.933.01 insulting language or conduct offensive to the public,Neglect of Duty and Professionalism,,
unsatisfactory work performance,Neglect of Duty and Professionalism,,
"Group 2 - DR.03:09.932.01 - Failure to follow supervisor instruction, performassigned work, or otherwise comply with policy and procedure.",Neglect of Duty and Professionalism,,
DR.03:09.932 (a) - Insubordination - suspended 24 hours,Neglect of Duty and Professionalism,,
"DR.03:08.000 - A - Employee conduct - DR.03:08.100 - 2 - Code Ethics, DR.03:08.775 - Social Networking; Group 3 - DR.03.09.955.01 - a & f - failure to observe policy - DR.03:09.960.01 - D - falsyifying Records - terminated",Falsifying Statements and Reports,,
"DR.03:09.913.01 - c. Unsatisfactory work performance, DR.03:09.920.01 - a. Failure to follow safety rules and procedures & b. contributing to or creating a unsafe or unsanitary conditions DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedure - terminated",Neglect of Duty and Professionalism,,
Group 2 - DR.03.09.932.01 - Insubordination - failure to follow supervisor instructions - warning,Neglect of Duty and Professionalism,,
"SOP.0085:01.010.1 - Cash Balance Procedure - Employees resonsible for processing cash transactions within the STPSO have an obligation to balance these transactions - 4. Any shortage, overage, and/or discrepancy of $50 and over will be documented and the employee will be responsible for reimbursing the Sheriff's office for the shortage. 5. The second shortage, overage and/or discrepancy of $50.00 and over within a one (1) year period will result in the employee being suspended for one day. The employee will be responsible for reimbursing the Sheriff's Office for the shortage. - 8 hour suspension",Other Allegation,,
Group 1 - DR.03:09.916.01 - Job Performance - c. Unsatisfactory work or failure to maintain required standard of performance. DR.03:09.920.01 - Safety A. Failure to follow safety rules and procedures. DR.03:09.920.01 - Safety a. failure to follow safety rules and procedures - suspension 8 hours,Neglect of Duty and Professionalism,,
SOP.0085.01.010.01 - Cash balance procedure - short $50.00 - probation 1 YEAR,Other Allegation,,
Group 1 - DR. 03:09.919. - Relative to willful failure to make required reports. Group 2 - DR.03:09.931.02 - Relative to failure to act when necessary - warning,Neglect of Duty and Professionalism,,
"Group 1 - Job Performance - DR.03:09.916.01 - Inadequate or unsatisfactory job performance, © unsatisfactory work or failure to maintain required standard of performance Group 2 Insubordination: DR.03:09.932.01 - Failure to follow supervisor instructions, peform assigned work, or otherwise comply with policy and procedure - warning",Neglect of Duty and Professionalism,,
"DR.03:09.916.01 (a) - Neglect of Work; DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procdure. 24 hour suspension",Neglect of Duty and Professionalism,,
Group 1 - DR.03:09.916.01 - c - Unsatisfactory work performance - 4th offense- suspension - 40 hours,Neglect of Duty and Professionalism,,
Job performance - Neglect of work,Neglect of Duty and Professionalism,,
"DR.03:09.931/01 - Insubordination - Failure to follow supervisors instructions, perform assigned work, or otherwise comply with policy and procedure & DR. 07.100.00 states that ""all personnel operating agnecy motor vehicles shall exercise due regard for the public safety for all persons - suspension 8 hours and 90 days for take home vehicle",Improper Use or Destruction of Equipment,,
"Group 3 - DR.03.09.955.01 d. - Engaging in any criminal conduct either on or off the job. DR.03.09.955.01 f. Taking any action which will impair the efficiency or reputation of the Agency, its members, or employees. DR.03:09.957.01- Willful disregard of Agency rules, regulations, policies and procedures - terminated",Engaging in Criminal Activity,,
DR.03:09.916.01 - Unsatisfactory work or failure to maintain required standard of performance -warning,Neglect of Duty and Professionalism,,
"DR.03:08.000 a - members of the STPSO shall conduct themselves at all time both on and off duty, in such a manner as to reflect most favorable on the Agency. DR.03.08.000 D - each employee has an obligation to observe and follow the STPSO policies and to maintain proper standards or conduct at all times as describe herein. DR>03:08.1165 - Fraternization is also the undertaking of a personal relationship, or association with or without sexual relationship, by a Deputy with a known felon, work release person, or any incarcertte individual without the express written permission of the Sheriff, or his designee - SOP.07004: VB002-365 (7) - all vistiors are required to leave their personal property in the car - demotion",Sexual Misconduct and Harassment,,
Grp 2 - DR.03:09.933.01 -language/conduct- suspension,Neglect of Duty and Professionalism,,
"DR.03:09.932.01 - insubordination - failure to follow supervisor instructions, perform assigned work, or otherwise comply with policy and procedures - DR.03:09.919 - failing to make a written report - suspension 16 hours",Neglect of Duty and Professionalism,,
"DR:03:09:916(b) Inadequate or unsatisfactory job performance, DR:03:09:916 c Unsatisfactory work or failure to maintain required standard of performance - 40 hour suspension",Neglect of Duty and Professionalism,,
"DR.03:08.1300 - Drug Free Workplace Policy - 11 & 12; DR.02:03.150 - Conflicting Orders (a) - corrective action - DR.03:09.932.01 - Failure to follow supervisor instructions, perform assigned work or otherwise comply with policy and procedure - suspension 24 hours",Engaging in Criminal Activity,,
